er,eg,eb,rr,rg,rb
153,0,0,506,111,103
102,0,0,414,104,98
51,0,0,354,93,92
255,127,0,658,180,108
204,102,0,590,149,100
153,77,0,513,130,97
102,52,0,430,115,100
51,27,0,357,105,92
255,255,0,661,326,121
204,204,0,623,293,118
153,153,0,528,220,104
102,102,0,420,152,95
51,51,0,333,115,90
0,153,0,360,212,116
0,102,0,341,178,112
0,51,0,310,124,101
0,0,153,295,127,153
0,0,102,294,112,122
0,0,51,293,103,101
75,0,130,325,129,182
60,0,104,323,120,164
45,0,78,304,110,128
30,0,52,302,106,112
15,0,26,308,104,104
148,0,211,401,136,189
118,0,169,390,133,189
88,0,127,351,119,176
58,0,85,321,117,145
28,0,43,305,104,104
153,153,153,528,216,194
102,102,102,414,144,129
255,0,0,660,131,125
0,255,0,397,236,126
0,0,255,303,161,214
0,0,0,306,104,98
127,127,127,480,197,170
255,255,255,663,337,306
0,255,255,357,230,227
255,0,255,635,129,178
255,127,0,666,194,115
50,150,220,332,209,259
100,30,110,398,121,165
